,Call_OI,Put_OI,Call_IV,Put_IV,c_gamma,c_vega,c_theta,c_delta,p_delta,p_theta,p_vega,p_gamma,maxpain,ltp
2023-10-04 11:49:43,8083210.0,5946233.0,2417.59,2113.69,0.011450588252026606,21.842734337700026,-207.92732834803533,5.11570985067038,21.970342750047948,-703.990666666986,46.6062645380527,0.014472869411252809,44000,43906.25
2023-10-04 11:50:41,8081987.0,5885675.0,2433.32,1853.15,0.011452438623549277,21.73010627522464,-207.00119671483014,5.137483727132544,21.863691115568017,-768.3453009901253,47.714624542195985,0.014405296306363446,43900,43906.5
2023-10-04 11:51:40,8081987.0,5885675.0,2433.34,1853.15,0.011470877429031745,21.696867688725956,-207.1399474414406,5.152607561777949,21.860341010215706,-749.2946427595635,47.0797920965165,0.014292714813901597,43900,43906.5
2023-10-04 11:53:40,8081225.0,5885649.0,2433.32,1853.15,0.011208620262770363,22.39721756762114,-235.87910064560825,5.987482584239797,20.30453294472583,-583.0596563905923,41.9763879051986,0.014111777789371782,43900,43894.25
2023-10-04 11:53:40,8081225.0,5885649.0,2433.32,1853.15,0.011208620262770363,22.39721756762114,-235.87910064560825,5.987482584239797,20.30453294472583,-583.0596563905923,41.9763879051986,0.014111777789371782,43900,43894.25
2023-10-04 11:55:40,8075872.0,5779681.0,2433.34,1853.15,0.011393875301579648,24.555818651258928,-320.22581795383866,7.709382879294854,17.357501245331854,-664.8371076469601,42.95876415630112,0.013959133531860068,43900,43875.35
2023-10-04 11:56:10,8075872.0,5779681.0,2433.34,1853.15,0.011344583749073323,24.44940192974983,-318.2296429599254,6.7007402983801425,19.301099299800597,-680.9840542582259,44.19223923675507,0.014271736537008195,43900,43875.35
2023-10-04 11:57:10,8097501.0,5569740.0,2433.34,1853.15,0.011522093776306086,23.778476554340124,-305.6441070044614,5.682534080556836,21.039013611303844,-840.4449481624763,48.62421845308841,0.014455482336139802,43900,43873.35
2023-10-04 11:58:09,8097501.0,5569740.0,2433.34,1853.15,0.011589763411479215,23.294204991908977,-297.76470625925583,5.657957444470223,22.939115536424328,-911.5380817162102,50.68308258768246,0.014747758502187125,43900,43873.35
2023-10-04 12:00:09,8097487.0,5570132.0,2433.32,1853.15,0.012713039942435778,27.183339914266085,-376.1106185097341,8.302350449727475,23.056459913383108,-419.23711781543375,36.28934332200109,0.01454790569510589,43900,43865.0
2023-10-04 12:00:40,8053399.0,5603452.0,2639.7,1920.19,0.011842102313752711,23.146951403084664,-266.991896950052,6.767731990772166,24.226843833090722,-680.4002309539404,45.120021012157295,0.015164886364438246,43900,43884.85
2023-10-04 12:00:40,8053399.0,5603452.0,2639.7,1920.19,0.011842102313752711,23.146951403084664,-266.991896950052,6.767731990772166,24.226843833090722,-680.4002309539404,45.120021012157295,0.015164886364438246,43900,43884.85
2023-10-04 12:02:40,8053399.0,5603452.0,2639.7,1920.19,0.011895372890036171,22.822516035880394,-258.8282031594693,5.77306657575806,24.571362192062224,-507.46027736183936,39.975623070668405,0.014833527492430498,43900,43884.85
2023-10-04 12:03:40,8082500.0,5637524.0,2639.7,1920.19,0.011693216716568422,20.287481800702,-191.81925132677966,4.0862016441267,23.709320093254675,-879.9334842365988,49.57327563474162,0.015058084587571408,43900,43900.65
2023-10-04 12:04:40,8081252.0,5637197.0,2639.7,1920.19,0.011595517719342752,19.755247602986067,-178.49493027343587,4.175643585081501,23.75813573481308,-818.8702914286603,47.74366376905253,0.015209711586305907,43900,43907.75
2023-10-04 12:05:10,8081252.0,5637197.0,2639.7,1920.19,0.011649829663451516,19.63437975998053,-176.13983535515771,4.1774617990826854,23.68698409194765,-858.8816715691728,48.794642229478015,0.01511949336285845,43900,43907.75
2023-10-04 12:07:10,8123716.0,5745372.0,2639.7,1920.19,0.011458140151965335,18.586247024817926,-161.4897503098824,3.279267425960282,23.56586577835653,-899.9999290363035,49.438217938136255,0.015059092695057785,43900,43911.7
2023-10-04 12:08:10,8123716.0,5745372.0,2639.7,1920.19,0.011043776797503568,17.827294843686293,-155.38779534891643,3.295096237319756,23.481033205103035,-958.282872884515,50.57150739270197,0.014999771359436309,43900,43911.7
2023-10-04 12:08:10,8123716.0,5745372.0,2639.7,1920.19,0.011043776797503568,17.827294843686293,-155.38779534891643,3.295096237319756,23.481033205103035,-958.282872884515,50.57150739270197,0.014999771359436309,43900,43911.7
2023-10-04 12:10:10,8124031.0,5827146.0,2639.7,1920.19,0.011450523426381753,20.003714565778964,-203.00243269272988,4.967401394404934,24.183090940616918,-630.0932947960289,42.975559706826594,0.014839368471797343,43900,43895.6
2023-10-04 12:10:10,8124031.0,5827146.0,2639.7,1920.19,0.011450523426381753,20.003714565778964,-203.00243269272988,4.967401394404934,24.183090940616918,-630.0932947960289,42.975559706826594,0.014839368471797343,43900,43895.6
2023-10-04 12:11:10,8123246.0,5827145.0,2443.68,1936.97,0.011817678179371072,20.99723021988131,-222.63565566995626,5.855609004503859,24.46802688867453,-515.8239424030529,39.594595355475604,0.015008189924725635,43900,43892.65
2023-10-04 12:13:10,8113392.0,5859206.0,2443.68,1936.97,0.011353876597230972,19.5044700358894,-201.25557359273012,4.9113137888134,24.191799669579257,-631.4682048392643,42.80517093302562,0.015058474225893015,43900,43894.3
2023-10-04 12:13:40,8113392.0,5859206.0,2443.68,1936.97,0.01160962501745022,20.114904124228207,-211.22209437859533,5.88152298682973,24.452686225081305,-510.8635957073605,39.09713447087122,0.014966292418150395,43900,43894.3
2023-10-04 12:14:40,8118726.0,5868760.0,2443.68,1936.97,0.011190651997006196,19.264787108347512,-196.40823691208922,4.951795946851264,24.269014438016846,-583.413335574591,41.08081501993529,0.015015517133565304,43900,43897.4
2023-10-04 12:16:40,8112913.0,5885483.0,2443.68,1936.97,0.014091659664983158,29.034828102202358,-322.74469874469645,13.338040427968176,11.381304146396532,-281.0282405684532,22.51961144484025,0.012021820724461563,43900,43897.4
2023-10-04 12:17:10,8112059.0,5884688.0,2443.68,1936.97,0.010780026381551622,16.022536173622143,-123.0798266246023,1.5260762046226477,25.026371913672804,-1043.4792167242244,49.75962610704035,0.014873211239274653,43900,43936.0
2023-10-04 12:17:10,8112059.0,5884688.0,2443.68,1936.97,0.010780026381551622,16.022536173622143,-123.0798266246023,1.5260762046226477,25.026371913672804,-1043.4792167242244,49.75962610704035,0.014873211239274653,43900,43936.0
2023-10-04 12:19:10,8112059.0,5884688.0,2443.68,1936.97,0.011259002851982114,15.811891697674161,-116.57184706657144,1.5344497112784337,24.774282702850044,-1209.8019058341754,52.36428286003616,0.01460488212701172,43900,43936.0
2023-10-04 12:20:10,8112610.0,5819735.0,2443.68,1936.97,0.01150645205089118,18.57072994032662,-164.05779650275406,4.177637364880289,24.050952227234188,-593.6388303122657,39.554086240602764,0.015084209324112141,43900,43913.9
2023-10-04 12:20:10,8163475.0,5847720.0,2295.53,1931.98,0.011377719546790122,18.292104064962363,-160.462340797762,3.1605435189087387,24.19139740408141,-541.7173729890724,37.92015288093529,0.014826612112772697,43900,43911.85
2023-10-04 12:21:41,8163475.0,5847720.0,2295.53,1931.98,0.011550860142817143,17.57336230226611,-148.01278306451724,3.193045156183003,24.03014852079853,-578.78503107561,39.66704262206608,0.014896252630014484,43900,43911.85
2023-10-04 12:23:07,8162864.0,5848612.0,2295.53,1931.98,0.011616178212381367,17.613866063801474,-150.6172433279727,4.150865159483853,23.001901967684518,-604.3057877865226,40.05393832834365,0.014839645932906986,43900,43909.9
2023-10-04 12:24:41,8162864.0,5848612.0,2295.53,1931.98,0.01139075103601117,18.136071614925168,-162.79049220607132,4.1223287937928665,23.254940272822225,-491.0740236570771,36.65306127310911,0.014820680557803279,43900,43909.9
2023-10-04 12:25:10,8172287.0,5868278.0,2295.53,1931.98,0.009866954297499397,15.366583931145408,-129.27523475329824,1.3843755385616274,23.574632949242037,-776.4230094636428,44.01450517303403,0.014818604926192247,43900,43919.0
2023-10-04 12:26:11,8172287.0,5868278.0,2295.53,1931.98,0.009912602947914628,15.157640566050105,-125.92950452197614,1.3703907500382584,24.511871296076148,-817.9411881030504,45.00699712338796,0.014916081619020805,43900,43919.0
2023-10-04 12:26:11,8172287.0,5868278.0,2295.53,1931.98,0.009912602947914628,15.157640566050105,-125.92950452197614,1.3703907500382584,24.511871296076148,-817.9411881030504,45.00699712338796,0.014916081619020805,43900,43919.0
2023-10-04 12:28:11,8176414.0,5867365.0,2295.53,1931.98,0.011865346143669075,17.503898470385124,-151.55480725006458,4.07269190328546,23.96053033948484,-636.7708148898843,40.343791890774646,0.014624527109874386,43900,43905.5
